Verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
now when jesus saw the crowds he went up on a mountainside and sat down. his disciples came to him,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and he began to teach them. he said,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
blessed are the poor in spirit for theirs is the kingdom of heaven.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are those who mourn for they will be comforted.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are the meek for they will inherit the earth.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are those who hunger and thirst for righteousness for they will be filled.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are the merciful for they will be shown mercy.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are the pure in heart for they will see god.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are the peacemakers for they will be called children of god.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are those who are persecuted because of righteousness for theirs is the kingdom of heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are you when people insult you persecute you and falsely say all kinds of evil against you because of me.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rejoice and be glad because great is your reward in heaven for in the same way they persecuted the prophets who were before you.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you are the salt of the earth. but if the salt loses its saltiness how can it be made salty again it is no longer good for anything except to be thrown out and trampled underfoot.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
you are the light of the world. a town built on a hill cannot be hidden.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neither do people light a lamp and put it under a bowl. instead they put it on its stand and it gives light to everyone in the house.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
in the same way let your light shine before others that they may see your good deeds and glorify your father in heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
do not think that i have come to abolish the law or the prophets i have not come to abolish them but to fulfill them.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
for truly i tell you until heaven and earth disappear not the smallest letter not the least stroke of a pen will by any means disappear from the law until everything is accomplished.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
therefore anyone who sets aside one of the least of these commands and teaches others accordingly will be called least in the kingdom of heaven but whoever practices and teaches these commands will be called great in the kingdom of heaven.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
for i tell you that unless your righteousness surpasses that of the pharisees and the teachers of the law you will certainly not enter the kingdom of heaven.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you have heard that it was said to the people long ago you shall not murder and anyone who murders will be subject to judgment.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
but i tell you that anyone who is angry with a brother or sister will be subject to judgment. again anyone who says to a brother or sister worthless is answerable to the court. and anyone who says you fool will be in danger of the fire of hell.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
therefore if you are offering your gift at the altar and there remember that your brother or sister has something against you,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
