verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
judge not that you be not judged.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
for with what judgment you judge you shall be judged and with what measure you use it shall be measured to you again.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
and why look you the speck of sawdust that is in your brother s eye but consider not the beam that is in your own eye,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
or how can you say to your brother let me pull out the speck out of your eye and behold a beam is in your own eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
you hypocrite first take out the beam out of your own eye and then shall you see clearly to take out the speck out of your brother s eye.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
give not that which is holy to the dogs neither cast you your pearls before pigs lest they trample them under their feet and turn again and tear you.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ask and it shall be given you seek and you shall find knock and it shall be opened to you,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
for every one that asks receives and he that seeks finds and to him that knocks it shall be opened.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
or what man is there of you whom if his son ask bread will he give him a stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
or if he ask a fish will he give him a serpent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
if you then being evil know how to give good gifts to your children how much more shall your father which is in heaven give good things to them that ask him,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
therefore all things whatsoever you would that men should do to you do you even so to them for this is the law and the prophets.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
enter you in at the narrow gate for wide is the gate and broad is the way that leads to destruction and many there be which go in there,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
because narrow is the gate and narrow is the way which leads to life and few there be that find it.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beware of false prophets which come to you in sheep s clothing but inwardly they are ravening wolves.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
you shall know them by their fruits. do men gather grapes of thorns or figs of thistles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
even so every good tree brings forth good fruit but a corrupt tree brings forth evil fruit.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
a good tree cannot bring forth evil fruit neither can a corrupt tree bring forth good fruit.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
every tree that brings not forth good fruit is cut down and cast into the fire.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wherefore by their fruits you shall know them.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
not every one that says to me lord lord shall enter into the kingdom of heaven but he that does the will of my father which is in heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
many will say to me in that day lord lord have we not prophesied in your name and in your name have cast out devils and in your name done many wonderful works,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and then will i tell to them i never knew you depart from me you that work immoraly.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
therefore whosoever hears these sayings of mine and does them i will like him to a wise man which built his house upon a rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
and the rain descended and the floods came and the winds blew and beat upon that house and it fell not for it was founded upon a rock.,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
and every one that hears these sayings of mine and does them not shall be like to a foolish man which built his house upon the sand,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
and the rain descended and the floods came and the winds blew and beat upon that house and it fell and great was the fall of it.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and it came to pass when jesus had ended these sayings the people were astonished at his doctrine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for he taught them as one having authority and not as the scribes.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
