verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
lamsa translation matthew chapter,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
judge not that you may not be judged.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for with the same judgment that you judge you will be judged and with the same measure with which you measure it will be measured to you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
why do you see the splinter which is in your brother s eye and do not feel the beam which is in your own eye,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
or how can you say to your brother let me take out the splinter from your eye and behold there is a cross beam in your own eye,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
o hypocrites first take out the beam from your own eye and then you will see clearly to get out the splinter from your brother s eye.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
do not give holy things to the dogs and do not throw your pearls before the swine for they might tread them with their feet and then turn and rend you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
ask and it shall be given to you seek and you shall find knock and it shall be opened to you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for whoever asks receives and he who seeks finds and to him who knocks the door is opened.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
or who is the man among you who when his son asks him for bread why will he hand him a stone,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
or if he should ask him for fish why will he hand him a snake,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
if therefore you who err know how to give good gifts to your sons how much more will your father in heaven give good things to those who ask him,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
whatever you wish men to do for you do likewise also for them for this is the law and the prophets.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
enter in through the narrow door for wide is the door and broad is the road which carries to destruction and many are those who travel on it.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
o how narrow is the door and how difficult is the road which carries to life and few are those who are found on it.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
be careful of false prophets who come to you in lamb s clothing but within they are ravening wolves.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
you will know them by their fruits. why do they gather grapes from thorns or figs from thistles,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
so every good tree bears good fruits but a bad tree bears bad fruits.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
a good tree cannot bear bad fruits neither can a bad tree bear good fruits.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
any tree which does not bear good fruits will be cut down and cast into the fire.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
thus by their fruits you will know them.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
it is not everyone who merely says to me my lord my lord will enter into the kingdom of heaven but he who does the will of my father in heaven.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
a great many will say to me in that day my lord my lord did we not prophesy in your name and in your name cast out devils and in your name do many wonders,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
then i will declare to them i have never known you keep away from me o you that work iniquity.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
therefore whoever hears these words of mine and does them he is like a wise man who built his house upon a rock.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and the rain came down and the rivers overflowed and the winds blew and they beat upon that house but it did not fall down because its foundations were laid upon a rock.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and whoever hears these words of mine and does them not is like a foolish man who built his house upon sand.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and the rain came down and the rivers overflowed and the winds blew and they beat upon that house and it fell down and its fall was very great.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and it happened when jesus finished these words the crowds were stunned at his teaching.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for he taught them as one who had the power and not like their own scribes and pharisees.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
