verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
lamsa translation matthew chapter,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
be careful concerning your alms not to do them in the presence of men merely that they may see them otherwise you have no reward with your father in heaven.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
therefore when you give alms do not blow a trumpet before you just as the hypocrites do in the synagogues and in the market places so that they may be glorified by men. truly i say to you that they have already received their reward.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but when you give alms let not your left hand know what your right hand is doing,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
so that your alms may be done secretly and your father who sees in secret shall himself reward you openly.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and when you pray do not be like the hypocrites who like to pray standing in the synagogues and at the street corners so that they may be seen by men. truly i say to you that they have already received their reward.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but you when you pray enter into your inner chamber and lock your door and pray to your father who is in secret and your father who sees in secret he himself shall reward you openly.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and when you pray do not repeat your words like the pagans for they think that because of much talking they will be heard.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
therefore do not be like them for your father knows what you need before you ask him.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
therefore pray in this manner our father in heaven hallowed be thy name.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
thy kingdom come. thy will be done as in heaven so on earth.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
give us bread for our needs from day to day.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and forgive us our offences as we have forgiven our offenders,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
and do not let us enter into temptation but deliver us from error. because thine is the kingdom and the power and the glory for ever and ever. amen.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for if you forgive men their faults your father in heaven will also forgive you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but if you do not forgive men neither will your father forgive even your faults.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
when you fast do not look sad like the hypocrites for they disfigure their faces so that they may appear to men that they are fasting. truly i say to you that they have already received their reward.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but you when you fast wash your face and anoint your head,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
so that it may not appear to men that you are fasting but to your father who is in secret and your father who sees in secret he will reward you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
do not lay up for yourselves treasures buried in the ground a place where rust and moth destroy and where thieves break through and steal.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but lay up for yourselves a treasure in heaven where neither rust nor moth destroy and where thieves do not break through and steal.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for where your treasure is there also is your heart.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
the eye is the lamp of the body if therefore your eye be clear your whole body is also lighted.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but if your eye is diseased your whole body will be dark. if therefore the light that is in you is darkness how much more will be your darkness.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
no man can serve two masters for either he will hate the one and like the other or he will honor one and despise the other. you cannot serve god and mammon wealth .,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for this reason i say to you do not worry for your life what you will eat and what you will drink nor for your body what you will wear. behold is not life much more important than food and the body than clothing,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
watch the birds of the sky for they do not sow neither do they harvest nor gather into barns and yet your father in heaven feeds them. are you not much more important than they,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
who is among you who by worrying can add one cubit to his stature,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
why do you worry about clothing observe the wild flowers how they grow they do not get tired out nor do they spin.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but i say to you that not even solomon with all of his glory was covered like one of them.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
now if god clothes in such fashion the grass of the field which today is and tomorrow falls into the fireplace is he not much more to you o you of little faith,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
therefore do not worry or say what will we eat or what will we drink or with what will we be clothed,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for worldly people seek after all these things. your father in heaven knows that all of these things are also necessary for you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but you seek first the kingdom of god and his righteousness and all of these things shall be added to you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
therefore do not worry for tomorrow for tomorrow will look after its own. sufficient for each day is its own trouble.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
