verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
lamsa translation matthew chapter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
when jesus saw the crowds he went up to the mountain and as he sat down his disciples drew near to him.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and he opened his mouth and taught them and he said,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
blessed are the poor in pride for theirs is the kingdom of heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are they who mourn for they shall be comforted.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are the meek for they shall inherit the earth.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are those who hunger and thirst for justice for they shall be well satisfied.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are the merciful for to them shall be mercy.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are those who are pure in their hearts for they shall see god.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are the peacemakers for they shall be called sons of god.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are those who are persecuted for the sake of justice for theirs is the kingdom of heaven.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blessed are you when they reproach you and persecute you and speak against you every kind of bad word falsely for my sake,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
then be glad and rejoice for your reward is increased in heaven for in this very manner they persecuted the prophets who were before you.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you are indeed the salt of the earth but if the salt should lose its savor with what could it be salted it would not be worth anything but to be thrown outside and to be trodden down by men.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
you are indeed the light of the world a city that is built upon a mountain cannot be hidden.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nor do they light a lamp and put it under a basket but on a lamp holder so it gives light to all who are in the house.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
let your light thus shine before men so that they may see your good works and glorify your father in heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
do not expect that i have come to weaken the law or the prophets i have not come to weaken but to fulfil.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for truly i tell you until heaven and earth pass away not even one yoth or a dash shall pass away from the law until all of it is fulfilled.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whoever therefore tries to weaken even one of these smallest commandments and teaches men so he shall be regarded as small in the kingdom of heaven but anyone who observes and teaches them he shall be regarded as great in the kingdom of heaven.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
for i say to you that unless your righteousness exceeds that of the scribes and pharisees you shall not enter the kingdom of heaven.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you have heard that it was said to those who were before you you shall not kill and whoever kills is guilty before the court.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
but i say to you that whoever becomes angry with his brother for no reason is guilty before the court and whoever should say to his brother raca which means i spit on you is guilty before the congregation and whoever says to his brother you are a nurse maid is condemned to hell fire.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
if it should happen therefore that while you are presenting your offering upon the altar and right there you remember that your brother has any grievance against you,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
leave your offering there upon the altar and first go and make peace with your brother and then come back and present your offering.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
try to get reconciled with your accuser promptly while you are going on the road with him for your accuser might surrender you to the judge and the judge would commit you to the jailer and you will be cast into prison.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
truly i say to you that you would never come out thence until you had paid the last cent.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
you have heard that it is said you shall not commit adultery.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
but i say to you that whoever looks at a woman with the desire to covet her has already committed adultery with her in his heart.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
