verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
do not judge or you too will be judged.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for in the same way you judge others you will be judged and with the measure you use it will be measured to you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
why do you look at the speck of sawdust in your brother s eye and pay no attention to the plank in your own eye,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
how can you say to your brother let me take the speck out of your eye when all the time there is a plank in your own eye,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
you hypocrite first take the plank out of your own eye and then you will see clearly to remove the speck from your brother s eye.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
do not give dogs what is sacred do not throw your pearls to pigs. if you do they may trample them under their feet and turn and tear you to pieces.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
ask and it will be given to you seek and you will find knock and the door will be opened to you.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
for everyone who asks receives the one who seeks finds and to the one who knocks the door will be opened.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
which of you if your son asks for bread will give him a stone,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
or if he asks for a fish will give him a snake,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
if you then though you are evil know how to give good gifts to your children how much more will your father in heaven give good gifts to those who ask him,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
so in everything do to others what you would have them do to you for this sums up the law and the prophets.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
enter through the narrow gate. for wide is the gate and broad is the road that leads to destruction and many enter through it.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but small is the gate and narrow the road that leads to life and only a few find it.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
watch out for false prophets. they come to you in sheep s clothing but inwardly they are ferocious wolves.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
by their fruit you will recognize them. do people pick grapes from thornbushes or figs from thistles,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
likewise every good tree bears good fruit but a bad tree bears bad fruit.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
a good tree cannot bear bad fruit and a bad tree cannot bear good fruit.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
every tree that does not bear good fruit is cut down and thrown into the fire.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
thus by their fruit you will recognize them.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
not everyone who says to me lord lord will enter the kingdom of heaven but only the one who does the will of my father who is in heaven.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
many will say to me on that day lord lord did we not prophesy in your name and in your name drive out demons and in your name perform many miracles,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
then i will tell them plainly i never knew you. away from me you evildoers,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
therefore everyone who hears these words of mine and puts them into practice is like a wise man who built his house on the rock.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
the rain came down the streams rose and the winds blew and beat against that house yet it did not fall because it had its foundation on the rock.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
but everyone who hears these words of mine and does not put them into practice is like a foolish man who built his house on sand.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
the rain came down the streams rose and the winds blew and beat against that house and it fell with a great crash.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
when jesus had finished saying these things the crowds were amazed at his teaching,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
because he taught as one who had authority and not as their teachers of the law.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
