verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
be careful not to practice your righteousness in front of others to be seen by them. if you do you will have no reward from your father in heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
so when you give to the needy do not announce it with trumpets as the hypocrites do in the synagogues and on the streets to be honored by others. truly i tell you they have received their reward in full.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
but when you give to the needy do not let your left hand know what your right hand is doing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
so that your giving may be in secret. then your father who sees what is done in secret will reward you.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
and when you pray do not be like the hypocrites for they love to pray standing in the synagogues and on the street corners to be seen by others. truly i tell you they have received their reward in full.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but when you pray go into your room close the door and pray to your father who is unseen. then your father who sees what is done in secret will reward you.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and when you pray do not keep on babbling like pagans for they think they will be heard because of their many words.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
do not be like them for your father knows what you need before you ask him.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
this then is how you should pray our father in heaven hallowed be your name,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
your kingdom come your will be done on earth as it is in heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
give us today our daily bread.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and forgive us our debts as we also have forgiven our debtors.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and lead us not into temptation but deliver us from the evil one.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for if you forgive other people when they sin against you your heavenly father will also forgive you.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but if you do not forgive others their sins your father will not forgive your sins.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
when you fast do not look somber as the hypocrites do for they disfigure their faces to show others they are fasting. truly i tell you they have received their reward in full.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but when you fast put oil on your head and wash your face,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
so that it will not be obvious to others that you are fasting but only to your father who is unseen and your father who sees what is done in secret will reward you.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
do not store up for yourselves treasures on earth where moths and vermin destroy and where thieves break in and steal.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
but store up for yourselves treasures in heaven where moths and vermin do not destroy and where thieves do not break in and steal.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for where your treasure is there your heart will be also.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the eye is the lamp of the body. if your eyes are healthy your whole body will be full of light.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but if your eyes are unhealthy your whole body will be full of darkness. if then the light within you is darkness how great is that darkness,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
no one can serve two masters. either you will hate the one and love the other or you will be devoted to the one and despise the other. you cannot serve both god and money.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
therefore i tell you do not worry about your life what you will eat or drink or about your body what you will wear. is not life more than food and the body more than clothes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
look at the birds of the air they do not sow or reap or store away in barns and yet your heavenly father feeds them. are you not much more valuable than they,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can any one of you by worrying add a single hour to your life,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
and why do you worry about clothes see how the flowers of the field grow. they do not labor or spin.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
yet i tell you that not even solomon in all his splendor was dressed like one of these.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
if that is how god clothes the grass of the field which is here today and tomorrow is thrown into the fire will he not much more clothe you you of little faith,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
so do not worry saying what shall we eat or what shall we drink or what shall we wear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
for the pagans run after all these things and your heavenly father knows that you need them.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
but seek first his kingdom and his righteousness and all these things will be given to you as well.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
therefore do not worry about tomorrow for tomorrow will worry about itself. each day has enough trouble of its own.,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
