verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
take care not to do your good works before men to be seen by them or you will have no reward from your father in heaven.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
when then you give money to the poor do not make a noise about it as the false hearted men do in the synagogues and in the streets so that they may have glory from men. truly i say to you they have their reward.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
but when you give money let not your left hand see what your right hand does,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
so that your giving may be in secret and your father who sees in secret will give you your reward.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
and when you make your prayers be not like the false hearted men who take pleasure in getting up and saying their prayers in the synagogues and at the street turnings so that they may be seen by men. truly i say to you they have their reward.,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
but when you make your prayer go into your private room and shutting the door say a prayer to your father in secret and your father who sees in secret will give you your reward.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and in your prayer do not make use of the same words again and again as the gentiles do for they have the idea that god will give attention to them because of the number of their words.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
so be not like them because your father has knowledge of your needs even before you make your requests to him.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
let this then be your prayer our father in heaven may your name be kept holy.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
let your kingdom come. let your pleasure be done as in heaven so on earth.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
give us this day bread for our needs.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and make us free of our debts as we have made those free who are in debt to us.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and let us not be put to the test but keep us safe from the evil one.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for if you let men have forgiveness for their sins you will have forgiveness from your father in heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but if you do not let men have forgiveness for their sins you will not have forgiveness from your father for your sins.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
and when you go without food be not sad faced as the false hearted are. for they go about with changed looks so that men may see that they are going without food. truly i say to you they have their reward.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
but when you go without food put oil on your head and make your face clean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
so that no one may see that you are going without food but your father in secret and your father who sees in secret will give you your reward.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
make no store of wealth for yourselves on earth where it may be turned to dust by worms and weather and where thieves may come in by force and take it away.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
but make a store for yourselves in heaven where it will not be turned to dust and where thieves do not come in to take it away,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for where your wealth is there will your heart be.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the light of the body is the eye if then your eye is true all your body will be full of light.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
but if your eye is evil all your body will be dark. if then the light which is in you is dark how dark it will be,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no man is able to be a servant to two masters for he will have hate for the one and love for the other or he will keep to one and have no respect for the other. you may not be servants of god and of wealth.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
so i say to you take no thought for your life about food or drink or about clothing for your body. is not life more than food and the body more than its clothing,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
see the birds of heaven they do not put seeds in the earth they do not get in grain or put it in store houses and your father in heaven gives them food. are you not of much more value than they,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and which of you by taking thought is able to make himself a cubit taller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
and why are you troubled about clothing see the flowers of the field how they come up they do no work they make no thread,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
but i say to you that even solomon in all his glory was not clothed like one of these.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
but if god gives such clothing to the grass of the field which is here today and tomorrow is put into the oven will he not much more give you clothing o you of little faith,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
then do not be full of care saying what are we to have for food or drink or with what may we be clothed,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
because the gentiles go in search of all these things for your father in heaven has knowledge that you have need of all these things,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
but let your first care be for his kingdom and his righteousness and all these other things will be given to you in addition.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
then have no care for tomorrow tomorrow will take care of itself. take the trouble of the day as it comes.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
