verse,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
be not judges of others and you will not be judged.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
for as you have been judging so you will be judged and with your measure will it be measured to you.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and why do you take note of the grain of dust in your brother s eye but take no note of the bit of wood which is in your eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or how will you say to your brother let me take out the grain of dust from your eye when you yourself have a bit of wood in your eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
you false one first take out the bit of wood from your eye then will you see clearly to take out the grain of dust from your brother s eye.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
do not give that which is holy to the dogs or put your jewels before pigs for fear that they will be crushed under foot by the pigs whose attack will then be made against you.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
make a request and it will be answered what you are searching for you will get give the sign and the door will be open to you,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
because to everyone who makes a request it will be given and he who is searching will get his desire and to him who gives the sign the door will be open.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
or which of you if his son makes a request for bread will give him a stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
or if he makes a request for a fish will give him a snake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
if you then being evil are able to give good things to your children how much more will your father in heaven give good things to those who make requests to him,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all those things then which you would have men do to you even so do you to them because this is the law and the prophets.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
go in by the narrow door for wide is the door and open is the way which goes to destruction and great numbers go in by it.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
for narrow is the door and hard the road to life and only a small number make discovery of it.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be on the watch for false prophets who come to you in sheep s clothing but inside they are cruel wolves.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
by their fruits you will get knowledge of them. do men get grapes from thorns or figs from thistles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
even so every good tree gives good fruit but the bad tree gives evil fruit.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
it is not possible for a good tree to give bad fruit and a bad tree will not give good fruit.,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
every tree which does not give good fruit is cut down and put in the fire.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
so by their fruits you will get knowledge of them.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
not everyone who says to me lord lord will go into the kingdom of heaven but he who does the pleasure of my father in heaven.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
a great number will say to me on that day lord lord were we not prophets in your name and did we not by your name send out evil spirits and by your name do works of power,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
and then will i say to them i never had knowledge of you go from me you workers of evil.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
everyone then to whom my words come and who does them will be like a wise man who made his house on a rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
and the rain came down and there was a rush of waters and the winds were driving against that house but it was not moved because it was based on the rock.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
and everyone to whom my words come and who does them not will be like a foolish man who made his house on sand,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
and the rain came down and there was a rush of waters and the winds were driving against that house and it came down and great was its fall.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and it came about when jesus had come to the end of these words that the people were surprised at his teaching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
for he was teaching as one having authority and not as their scribes.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
